company,Date,Open,High,Low,Close,Adj Close,Volume
AXP,2018-12-10,105.940002,108.730003,103.5,105.699997,97.795135,20214000
AXP,2018-12-17,105.459999,105.459999,91.150002,91.330002,84.499817,36877700
AXP,2018-12-24,90.739998,95.650002,89.050003,94.419998,87.358719,16026300
AXP,2018-12-31,95.129997,98.349998,93.230003,97.639999,90.337906,16410300
AXP,2019-01-07,97.769997,99.589996,97.019997,98.550003,91.553032,15765100
AXP,2019-01-14,97.760002,100.809998,96.370003,100.480003,93.346008,30183300
AXP,2019-01-21,99.849998,101.589996,98.459999,100.769997,93.615417,15189100
AXP,2019-01-28,100.050003,103.529999,99.480003,103.059998,95.742844,18544200
AXP,2019-02-04,103.040001,105.080002,102.519997,104.519997,97.099174,14844400
AXP,2019-02-11,104.949997,108.470001,104.809998,107.379997,99.756126,15342700
AXP,2019-02-18,107.050003,107.550003,106.32,107.440002,99.811836,12356500
AXP,2019-02-25,108.199997,109.650002,106.419998,108.900002,101.168198,14252900
AXP,2019-03-04,109.559998,110.089996,106.68,107.980003,100.31353,14480200
AXP,2019-03-11,109.010002,113.769997,108.709999,113.519997,105.460182,19759400
AXP,2019-03-18,113.75,114.25,108.989998,109.459999,101.688438,16407000
AXP,2019-03-25,109.279999,110.400002,108.190002,109.300003,101.539825,17371600
AXP,2019-04-01,110.290001,112.040001,109.5,110.959999,103.08194,20587000
AXP,2019-04-08,110.620003,111.550003,109.419998,110.910004,103.400253,14933500
AXP,2019-04-15,110.919998,114.139999,110.25,113.669998,105.973373,14795100
AXP,2019-04-22,112.599998,117.730003,111.900002,117.599998,109.637245,16421400
AXP,2019-04-29,117.239998,119.660004,116.099998,119.349998,111.268776,13329500
AXP,2019-05-06,117.260002,119.610001,115.379997,118.459999,110.439011,18899000
AXP,2019-05-13,116.419998,120.349998,115.620003,119.07,111.007729,18299800
AXP,2019-05-20,118.830002,120.879997,117.849998,119.510002,111.417931,14606100
AXP,2019-05-27,119.360001,120.120003,114.559998,114.709999,106.942955,9955700
AXP,2019-06-03,114.559998,121.360001,113.889999,121.110001,112.909607,13270900
AXP,2019-06-10,121.599998,124.739998,120.940002,122.0,113.739319,14270900
AXP,2019-06-17,122.239998,126.400002,121.300003,124.730003,116.284492,16782100
AXP,2019-06-24,124.980003,125.419998,123.029999,123.440002,115.081833,12814400
AXP,2019-07-01,125.300003,126.400002,124.309998,125.400002,116.909111,15530700
AXP,2019-07-08,124.989998,128.419998,124.18,127.959999,119.668839,12870400
AXP,2019-07-15,128.25,129.339996,123.800003,124.82,116.732315,18682100
AXP,2019-07-22,124.75,128.979996,124.699997,126.779999,118.5653,19422800
AXP,2019-07-29,126.910004,127.459999,123.080002,124.309998,116.255333,14384500
AXP,2019-08-05,122.459999,126.739998,120.160004,126.169998,117.994827,17658400
AXP,2019-08-12,124.989998,126.5,121.139999,124.629997,116.554604,17095100
AXP,2019-08-19,126.099998,126.150002,117.059998,117.760002,110.129753,16999100
AXP,2019-08-26,118.330002,121.660004,116.849998,120.370003,112.570648,12911300
AXP,2019-09-02,119.860001,121.629997,117.519997,120.190002,112.402298,16759100
AXP,2019-09-09,121.209999,121.410004,116.300003,119.199997,111.476456,22881100
AXP,2019-09-16,118.139999,119.519997,116.370003,116.800003,109.231949,17457100
AXP,2019-09-23,116.360001,120.199997,116.099998,118.589996,110.90596,19281100
AXP,2019-09-30,119.050003,119.5,111.059998,114.410004,106.996803,16353400
AXP,2019-10-07,113.910004,117.57,112.050003,116.400002,109.274208,13923600
AXP,2019-10-14,116.139999,119.980003,115.940002,116.760002,109.612175,15574800
AXP,2019-10-21,117.550003,119.379997,115.510002,118.260002,111.02034,16969000
AXP,2019-10-28,118.639999,119.449997,116.860001,119.139999,111.846474,12117400
AXP,2019-11-04,119.620003,122.43,117.760002,121.470001,114.033829,11836700
AXP,2019-11-11,120.760002,121.809998,119.800003,120.760002,113.36731,9856500
AXP,2019-11-18,120.559998,120.849998,118.410004,119.059998,111.77137,11466500
AXP,2019-11-25,119.139999,121.040001,119.139999,120.120003,112.766472,11472800
AXP,2019-12-02,120.309998,121.440002,114.650002,120.610001,113.226471,18190500
AXP,2019-12-09,120.440002,124.989998,120.029999,124.720001,117.084869,14271500
AXP,2019-12-16,125.650002,126.330002,123.25,125.769997,118.07061,19267800
AXP,2019-12-23,125.739998,125.970001,123.699997,125.190002,117.526093,7260100
AXP,2019-12-30,125.199997,126.269997,123.779999,124.599998,116.972221,9445500
AXP,2020-01-06,123.370003,128.169998,123.120003,127.279999,119.902328,13932000
AXP,2020-01-13,127.839996,131.860001,127.629997,131.520004,123.896523,16392800
AXP,2020-01-20,131.110001,138.130005,130.139999,135.110001,127.278473,18040000
AXP,2020-01-27,131.149994,133.869995,128.869995,129.869995,122.342171,18614600
AXP,2020-02-03,130.550003,134.350006,130.449997,131.820007,124.179169,13948100
AXP,2020-02-10,131.610001,136.369995,131.350006,135.869995,127.9944,10803800
AXP,2020-02-17,135.869995,138.039993,133.889999,134.899994,127.080635,9861000
AXP,2020-02-24,129.429993,130.960007,107.0,109.93,103.558014,38867300
AXP,2020-03-02,111.110001,116.400002,103.790001,108.239998,101.96595,48565800
AXP,2020-03-09,100.870003,103.370003,81.809998,99.599998,93.826767,55769400
AXP,2020-03-16,82.440002,93.18,67.0,74.120003,69.823692,64482900
AXP,2020-03-23,72.82,99.690002,68.120003,88.730003,83.586845,47007200
AXP,2020-03-30,88.510002,91.389999,72.610001,73.599998,69.333847,38315500
AXP,2020-04-06,80.220001,97.849998,78.739998,94.82,89.820007,32971500
AXP,2020-04-13,93.290001,93.419998,80.330002,87.389999,82.781792,39952100
AXP,2020-04-20,84.589996,85.269997,79.470001,83.169998,78.78434,33563600
AXP,2020-04-27,83.470001,96.389999,82.339996,88.32,83.66275,35521300
AXP,2020-05-04,86.089996,89.660004,83.860001,89.5,84.78054,22549800
AXP,2020-05-11,87.5,87.650002,76.0,82.220001,77.884438,39347800
AXP,2020-05-18,86.720001,91.43,85.919998,89.330002,84.619514,27897200
AXP,2020-05-25,93.940002,102.459999,92.889999,95.07,90.056839,34546200
AXP,2020-06-01,95.559998,115.93,94.559998,109.730003,103.943779,32943500
AXP,2020-06-08,111.910004,113.709999,98.080002,101.68,96.318283,33912300
AXP,2020-06-15,100.0,109.059998,97.620003,100.940002,95.617287,28821800
AXP,2020-06-22,98.0,101.650002,92.449997,93.419998,88.49382,30807800
AXP,2020-06-29,94.440002,97.290001,93.339996,94.330002,89.355843,16870200
AXP,2020-07-06,96.510002,97.900002,89.580002,93.230003,88.714554,24891300
AXP,2020-07-13,94.239998,97.790001,92.290001,95.18,90.570122,19797300
AXP,2020-07-20,94.800003,97.779999,93.300003,95.330002,90.71286,21177600
AXP,2020-07-27,94.639999,96.75,92.230003,93.32,88.800201,17805400
AXP,2020-08-03,93.309998,99.300003,92.440002,99.160004,94.357353,15518500
AXP,2020-08-10,99.489998,105.699997,99.260002,100.410004,95.546814,18628500
AXP,2020-08-17,99.919998,100.0,95.68,96.150002,91.493149,19853000
AXP,2020-08-24,96.68,102.900002,96.389999,102.540001,97.573639,18399200
AXP,2020-08-31,102.900002,109.029999,100.160004,105.669998,100.552055,23328200
AXP,2020-09-07,104.419998,105.110001,102.010002,103.360001,98.35392,12885000
AXP,2020-09-14,104.650002,108.120003,103.309998,103.440002,98.430061,22636100
AXP,2020-09-21,100.599998,100.629997,93.709999,96.260002,91.597816,29676100
AXP,2020-09-28,99.0,103.139999,97.230003,101.610001,96.688698,20154800
AXP,2020-10-05,103.330002,107.209999,101.32,106.339996,101.189575,15654700
AXP,2020-10-12,106.459999,107.010002,103.019997,104.910004,100.245811,13149200
AXP,2020-10-19,105.129997,105.220001,100.0,100.980003,96.49054,21409600
AXP,2020-10-26,99.769997,100.099998,89.110001,91.239998,87.183563,26705400
AXP,2020-11-02,92.959999,98.639999,92.269997,96.690002,92.391266,19446300
AXP,2020-11-09,110.540001,119.889999,109.550003,114.989998,109.87767,39713900
AXP,2020-11-16,119.099998,120.389999,111.900002,112.580002,107.574829,19578700
AXP,2020-11-23,114.239998,121.690002,113.720001,120.589996,115.228699,16280600
AXP,2020-11-30,120.029999,125.32,118.0,125.040001,119.480858,19706700
AXP,2020-12-07,124.510002,124.870003,118.839996,120.230003,114.884697,17261100
AXP,2020-12-14,121.730003,121.790001,115.559998,117.510002,112.285652,24949700
AXP,2020-12-21,115.769997,118.190002,113.720001,117.349998,112.132759,11592800
AXP,2020-12-28,118.050003,121.059998,117.599998,120.910004,115.534485,7441100
AXP,2021-01-04,121.300003,125.690002,116.849998,121.779999,116.365784,23077400
AXP,2021-01-11,120.419998,124.5,119.389999,122.150002,117.128609,17013500
AXP,2021-01-18,125.489998,129.539993,124.239998,126.139999,120.95459,16518400
AXP,2021-01-25,124.239998,125.0,112.099998,116.260002,111.480743,31753900
AXP,2021-02-01,117.699997,127.339996,117.0,126.279999,121.088837,17279100
AXP,2021-02-08,126.870003,130.460007,126.199997,129.619995,124.291542,15071300
AXP,2021-02-15,128.910004,133.360001,126.080002,131.710007,126.295639,11508600
AXP,2021-02-22,131.509995,140.949997,131.369995,135.259995,129.699661,20099300
AXP,2021-03-01,138.179993,147.960007,138.080002,147.330002,141.273514,19804900
AXP,2021-03-08,147.279999,151.460007,144.110001,148.539993,142.433762,18707100
AXP,2021-03-15,148.039993,148.919998,139.740005,140.710007,134.925644,18167700
AXP,2021-03-22,139.490005,143.979996,135.130005,143.729996,137.821487,15272300
AXP,2021-03-29,141.979996,144.630005,140.309998,144.570007,138.626968,9841600
AXP,2021-04-05,146.910004,148.440002,144.380005,147.779999,142.130966,12289800
AXP,2021-04-12,147.259995,150.449997,143.839996,149.990005,144.256454,12524100
AXP,2021-04-19,149.190002,149.509995,140.679993,144.330002,138.812805,16590100
AXP,2021-04-26,146.800003,155.080002,145.559998,153.350006,147.488052,15446400
AXP,2021-05-03,154.589996,159.259995,152.839996,158.979996,152.902802,14169500
AXP,2021-05-10,159.75,160.690002,151.809998,157.149994,151.142746,14537500
AXP,2021-05-17,157.050003,158.809998,151.720001,156.869995,150.873428,13941200
AXP,2021-05-24,157.699997,160.639999,156.949997,160.130005,154.008865,13437500
AXP,2021-05-31,162.509995,165.729996,161.550003,165.0,158.692688,12906500
AXP,2021-06-07,165.630005,167.139999,162.119995,164.509995,158.221451,12357400
AXP,2021-06-14,164.300003,166.899994,157.25,158.169998,152.123795,20227700
AXP,2021-06-21,160.080002,170.410004,159.130005,169.449997,162.97258,20309700
AXP,2021-06-28,168.619995,168.979996,163.199997,168.5,162.058884,13265700
AXP,2021-07-05,172.539993,174.759995,165.589996,171.940002,165.798904,16490600
AXP,2021-07-12,170.070007,174.740005,169.539993,170.009995,163.937805,16760200
AXP,2021-07-19,165.649994,179.669998,161.479996,173.179993,166.994598,24030500
AXP,2021-07-26,173.25,175.429993,169.710007,170.529999,164.439255,25629000
AXP,2021-08-02,171.139999,173.360001,165.300003,171.360001,165.239594,15446200
AXP,2021-08-09,170.350006,171.699997,165.610001,166.080002,160.148178,17323600
AXP,2021-08-16,164.770004,166.350006,157.330002,159.75,154.044266,22372100
AXP,2021-08-23,161.229996,168.889999,160.110001,168.649994,162.626389,14130800
AXP,2021-08-30,168.160004,168.300003,158.169998,159.300003,153.610352,17244500
AXP,2021-09-06,158.869995,162.149994,156.800003,158.720001,153.051071,13075200
AXP,2021-09-13,160.639999,165.830002,158.779999,163.919998,158.065338,19562700
AXP,2021-09-20,159.360001,176.0,157.949997,175.720001,169.443863,20099900
AXP,2021-09-27,177.669998,178.800003,167.410004,173.940002,167.727463,17335800
AXP,2021-10-04,173.880005,177.229996,169.899994,175.149994,168.894241,15119600
AXP,2021-10-11,175.789993,177.770004,167.080002,175.809998,169.952103,17282600
AXP,2021-10-18,175.580002,189.029999,174.330002,187.080002,180.846588,15761800
AXP,2021-10-25,186.729996,187.210007,173.020004,173.779999,167.989746,19352800
AXP,2021-11-01,174.580002,177.789993,171.660004,176.690002,170.80278,16585900
AXP,2021-11-08,178.070007,183.479996,177.789993,181.889999,175.829498,14401900
AXP,2021-11-15,182.529999,183.929993,171.839996,173.539993,167.757736,17059000
AXP,2021-11-22,174.990005,175.25,154.5,156.820007,151.594849,20936800
AXP,2021-11-29,160.75,161.410004,149.889999,155.940002,150.744156,30207500
AXP,2021-12-06,159.070007,170.580002,158.050003,167.029999,161.46463,18322600
AXP,2021-12-13,166.399994,166.399994,156.949997,160.009995,154.678543,25931700
AXP,2021-12-20,157.0,166.399994,153.779999,164.190002,158.719284,13580200
